# API Documentation: Weather Forecast Endpoint

## Description

This API provides weather forecast data for a given location. The endpoint uses OpenWeatherMap's free tier to fetch the data.

## Endpoint

```http
GET /api/v1/weather-forecast?latitude={latitude}&longitude={longitude}&units={units}&appid={API_KEY}
```

## Request Parameters

| Parameter        | Data Type   | Description                           |
|------------------|------------|---------------------------------------|
| `latitude`       | float      | The latitude of the location.         |
| `longitude`      | float      | The longitude of the location.        |
| `units`          | string     | Specifies the measurement units (e.g., 'metric' or 'imperial'). Default is 'metric'.  |
| `API_KEY`        | string     | Your API key for authentication. Obtain one from [OpenWeatherMap](https://home.openweathermap.org/users/sign_up). |

## Response Parameters

| Parameter          | Data Type   | Description                           |
|--------------------|------------|---------------------------------------|
| `coord`            | object      | Contains the location's latitude and longitude.         |
| `weather`          | array       | An array of weather objects, each describing a day's forecast.        |
| `weather[].description`    | string     | A brief description of the current weather.            |
| `weather[].icon`      | string     | The URL to an icon representing the weather condition.           |
| `main`             | object      | Contains temperature, humidity, and pressure details.  |
| `main[].temp`       | float      | The current temperature in the specified units.          |
| `main[].humidity`    | integer    | The current humidity (in percentage).                   |
| `main[].pressure`   | float      | The current atmospheric pressure (in hPa).              |
| `wind`             | object      | Contains wind speed and direction details.            |
| `wind[].speed`      | float      | The current wind speed (in the specified units).       |
| `wind[].deg`        | integer    | The direction of the wind in degrees (0-360).          |
| `clouds`           | object      | Contains cloud coverage details.                     |
| `clouds[].all`      | integer    | The percentage of sky covered by clouds.              |
| `sys`
